Close,High,Low,Open,Volume
CVNA,CVNA,CVNA,CVNA,CVNA
98.95999908447266,104.0,97.5510025024414,103.27999877929688,2398100
101.0999984741211,101.48999786376953,97.91999816894531,98.80000305175781,3115500
103.04000091552734,105.19000244140625,100.5999984741211,101.5,3482700
104.66999816894531,109.88999938964844,103.2699966430664,107.7300033569336,4948000
106.55999755859375,110.94000244140625,102.61000061035156,103.19999694824219,5491300
108.05000305175781,110.66000366210938,105.55999755859375,106.55000305175781,4357800
104.12000274658203,106.56999969482422,101.13999938964844,105.86000061035156,3571500
111.06999969482422,115.0,107.01000213623047,107.98999786376953,7976400
106.73999786376953,111.01000213623047,105.2699966430664,111.01000213623047,4370900
103.05999755859375,105.55000305175781,101.27899932861328,105.55000305175781,2772500
108.94000244140625,109.75,100.05000305175781,101.91000366210938,3423900
110.77999877929688,111.75,107.55000305175781,107.80000305175781,2709700
109.8499984741211,113.43000030517578,106.31999969482422,109.98999786376953,3087400
112.98999786376953,112.98999786376953,107.75,109.8499984741211,4408200
119.5,120.83999633789062,111.55000305175781,113.08999633789062,4452500
128.5800018310547,129.41000366210938,116.8499984741211,118.44999694824219,6414400
126.5999984741211,131.41000366210938,124.12000274658203,126.55000305175781,5121100
132.8800048828125,134.67999267578125,124.18000030517578,126.9749984741211,5690500
128.72000122070312,136.9199981689453,124.11000061035156,133.4250030517578,19539400
124.3499984741211,129.49000549316406,121.01000213623047,128.99000549316406,4317700
127.52999877929688,128.36000061035156,121.47000122070312,125.0,3195600
127.83999633789062,129.0800018310547,125.5999984741211,127.0999984741211,1567500
128.0500030517578,128.46499633789062,124.0199966430664,126.94999694824219,2494300
122.31999969482422,129.99000549316406,120.05000305175781,129.05999755859375,3725800
125.69999694824219,125.87000274658203,120.75900268554688,122.30000305175781,2803100
130.97000122070312,136.5500030517578,126.61000061035156,131.5,7472100
129.92999267578125,136.07000732421875,127.69999694824219,133.2050018310547,3444000
136.24000549316406,140.91000366210938,130.32000732421875,131.22999572753906,6886900
142.08999633789062,144.2899932861328,136.75,137.22000122070312,4480700
145.02999877929688,147.25,140.6820068359375,142.89999389648438,4346700
133.75,142.8800048828125,132.1199951171875,139.4250030517578,5102000
129.17999267578125,137.41000366210938,128.2100067138672,135.2899932861328,3768600
130.05999755859375,136.12600708007812,128.7899932861328,129.6999969482422,5631200
128.88999938964844,135.25999450683594,127.20500183105469,133.4199981689453,3395600
129.11000061035156,130.60000610351562,124.11000061035156,127.09500122070312,2593400
123.41999816894531,128.10000610351562,122.87000274658203,125.77999877929688,2591700
124.0999984741211,131.8800048828125,122.13999938964844,123.70999908447266,3450100
132.85000610351562,136.4499969482422,127.5,127.5,4201700
127.61000061035156,136.22799682617188,124.75,133.9199981689453,4579100
126.77999877929688,133.6300048828125,123.04000091552734,128.0,4240600
133.22999572753906,137.9199981689453,128.8000030517578,131.39999389648438,8227000
146.52000427246094,154.0,138.77699279785156,147.33999633789062,14478000
137.1999969482422,142.85000610351562,134.6300048828125,139.80999755859375,5965800
135.33999633789062,138.5500030517578,118.5,119.25,6137900
138.9499969482422,141.02000427246094,131.72000122070312,138.00999450683594,3706200
128.63999938964844,140.58999633789062,127.86000061035156,140.58999633789062,4088600
133.41000366210938,134.88499450683594,129.0,130.47999572753906,3313300
135.9199981689453,138.14999389648438,130.85000610351562,133.89999389648438,2473100
133.47999572753906,136.66000366210938,132.35000610351562,136.0500030517578,2063700
146.49000549316406,146.49000549316406,135.5050048828125,135.92999267578125,5010300
142.0,147.30999755859375,141.6699981689453,144.52000427246094,3259600
151.55999755859375,152.8699951171875,142.6300048828125,146.38499450683594,4139300
155.92999267578125,156.17999267578125,148.69000244140625,149.36000061035156,3717700
155.75,156.4669952392578,152.24000549316406,155.9499969482422,2313200
154.17999267578125,156.8000030517578,151.1300048828125,156.41000366210938,1843700
156.77000427246094,157.6179962158203,154.0500030517578,154.97000122070312,1948200
153.02000427246094,159.1699981689453,151.97000122070312,155.5800018310547,2899800
159.77999877929688,159.85000610351562,151.52000427246094,154.5399932861328,3156600
157.99000549316406,158.5,154.5,158.42999267578125,2265200
158.74000549316406,159.58999633789062,154.35000610351562,156.64999389648438,1705700
154.30999755859375,158.9499969482422,152.83999633789062,157.72000122070312,2017800
150.0800018310547,156.71200561523438,149.00100708007812,156.0,2114500
150.6199951171875,152.3300018310547,146.86500549316406,152.3000030517578,2325900
144.52000427246094,149.85000610351562,142.8699951171875,148.8000030517578,2424000
144.74000549316406,147.9510040283203,142.6999969482422,145.0,1710300
141.13999938964844,145.25,139.13999938964844,144.17999267578125,2157700
133.41000366210938,142.91400146484375,132.1199951171875,141.5,2692100
135.47999572753906,138.39999389648438,133.8000030517578,137.33999633789062,2699300
130.72000122070312,135.38999938964844,124.38999938964844,134.97000122070312,4858900
133.5399932861328,133.88999938964844,126.58999633789062,129.4199981689453,3025000
140.52000427246094,141.52999877929688,133.57000732421875,137.1199951171875,3443700
141.89999389648438,144.44000244140625,140.22999572753906,141.7899932861328,1789800
152.89999389648438,153.55999755859375,143.02999877929688,143.14999389648438,5656000
156.5800018310547,158.3000030517578,151.60000610351562,154.97000122070312,3189900
161.6300048828125,167.75,157.26499938964844,157.35000610351562,6371300
170.74000549316406,171.66700744628906,165.11000061035156,167.25,5173500
173.85000610351562,176.3300018310547,167.8000030517578,169.61000061035156,5397600
175.14999389648438,176.1999969482422,167.1199951171875,170.5,4060600
172.6999969482422,173.8699951171875,169.08999633789062,172.88999938964844,3443300
169.64999389648438,173.4499969482422,168.72000122070312,171.75999450683594,2353500
