Close,High,Low,Open,Volume
CELH,CELH,CELH,CELH,CELH
27.200000762939453,27.979999542236328,26.43000030517578,26.6200008392334,5436500
28.799999237060547,28.969999313354492,26.600000381469727,27.75,7341900
28.93000030517578,29.65999984741211,28.299999237060547,29.399999618530273,7835800
29.200000762939453,30.270000457763672,28.700000762939453,29.1200008392334,6731000
29.010000228881836,29.139999389648438,27.860000610351562,28.81999969482422,6774500
26.760000228881836,28.610000610351562,26.670000076293945,28.59000015258789,9115200
27.1299991607666,27.260000228881836,26.079999923706055,26.3700008392334,4939900
26.8700008392334,27.6299991607666,26.34000015258789,27.270000457763672,4058700
27.299999237060547,28.040000915527344,27.1200008392334,27.75,4631200
27.59000015258789,28.18000030517578,26.850000381469727,27.170000076293945,6679800
27.229999542236328,28.3700008392334,26.959999084472656,27.940000534057617,4676200
26.809999465942383,27.479999542236328,26.420000076293945,27.3700008392334,10474800
25.350000381469727,26.450000762939453,25.270000457763672,26.15999984741211,12673500
25.040000915527344,25.3700008392334,24.549999237060547,25.010000228881836,9456200
25.770000457763672,25.950000762939453,24.790000915527344,25.34000015258789,6294500
25.3799991607666,26.100000381469727,25.1200008392334,25.459999084472656,5965100
24.8799991607666,25.799999237060547,24.75,25.469999313354492,4984300
25.360000610351562,25.770000457763672,24.420000076293945,24.799999237060547,7072900
25.780000686645508,25.940000534057617,25.18000030517578,25.8799991607666,4716900
24.979999542236328,26.209999084472656,24.829999923706055,25.8799991607666,5946300
23.760000228881836,24.200000762939453,23.510000228881836,24.0,7640300
22.920000076293945,23.799999237060547,22.920000076293945,23.65999984741211,9533200
22.43000030517578,23.170000076293945,22.290000915527344,23.020000457763672,9331400
21.959999084472656,22.950000762939453,21.860000610351562,22.81999969482422,7908700
22.40999984741211,22.579999923706055,21.649999618530273,21.8799991607666,8861100
21.68000030517578,22.3700008392334,21.43000030517578,22.290000915527344,8907200
22.040000915527344,22.34000015258789,21.440000534057617,21.540000915527344,5373500
21.280000686645508,21.670000076293945,21.100000381469727,21.5,9856000
22.65999984741211,22.719999313354492,21.309999465942383,21.469999313354492,9266600
22.34000015258789,23.389999389648438,22.31999969482422,23.059999465942383,7155500
22.739999771118164,23.229999542236328,22.25,22.479999542236328,7623100
26.09000015258789,26.219999313354492,23.989999771118164,24.09000015258789,25278400
25.530000686645508,26.0,24.440000534057617,25.299999237060547,34240600
